"species_group","predictor"
"fish","bpi_500m_5km"
"fish","depth"
"fish","depth_attenuated_exposure"
"fish","oxygen_bottom_mean"
"fish","primary_prod_surface_mean"
"fish","salinity_bottom_mean"
"fish","salinity_surface_mean"
"fish","sea_ice_fraction_mean"
"fish","slope"
"fish","substrate_hard"
"fish","substrate_sand"
"fish","substrate_soft"
"fish","temperature_bottom_mean"
"fish","wave_significant_height_mean"
"macrophytes","bpi_4km_20km"
"macrophytes","bpi_500m_5km"
"macrophytes","depth"
"macrophytes","depth_attenuated_exposure"
"macrophytes","nitrate_surface_mean"
"macrophytes","ph_surface_mean"
"macrophytes","salinity_surface_mean"
"macrophytes","secchi_depth_mean"
"macrophytes","slope"
"macrophytes","substrate_coarse"
"macrophytes","substrate_hard"
"macrophytes","substrate_sand"
"macrophytes","substrate_soft"
"macrophytes","temperature_surface_mean"
"invertebrates","aspect"
"invertebrates","bpi_4km_20km"
"invertebrates","bpi_500m_5km"
"invertebrates","chloro_a_mean"
"invertebrates","depth"
"invertebrates","depth_attenuated_exposure"
"invertebrates","oxygen_bottom_mean"
"invertebrates","rugosity"
"invertebrates","salinity_bottom_mean"
"invertebrates","salinity_surface_mean"
"invertebrates","sea_ice_fraction_mean"
"invertebrates","slope"
"invertebrates","substrate_hard_binary"
"invertebrates","substrate_mixed_binary"
"invertebrates","temperature_bottom_mean"
"invertebrates","wave_significant_height_mean"
